,ecli,drug,relevant_countries,volume,volume_type,general_drug_type,general_volume_type,countries_present,verdict_date
448,ECLI:NL:RBLIM:2018:2977,pmk,"['China', 'Belgium']",1.800,liter,precursor,liter,"{'Belgium': ['België', 'Antwerpen', 'België-Nederland'], 'Ecuador': ['Ecuador'], 'Peru': ['Peru'], 'China': ['China', 'Yantian', 'china', 'Shanghai'], 'United Arab Emirates': ['Dubai'], 'Hungary': ['Hongarije'], 'United Kingdom': ['NN4', 'NN2', 'Verenigd Koninkrijk'], 'India': ['Bombay', 'India'], 'Colombia': ['Santa Marta', 'Colombia'], 'Turkey': ['Calisir', 'D-030'], 'United States': ['Wvmc', 'Kent'], 'South Africa': ['Rooi'], 'Greece': ['Kos'], 'Curaçao': ['Curaçao'], 'Germany': ['Duitsland'], 'Dominican Republic': ['Dominicaanse Republiek Curaçao', 'Dominicaanse Republiek']}",2018-03-29
449,ECLI:NL:RBLIM:2018:2977,mdma,['China'],N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Antwerpen', 'België-Nederland'], 'Ecuador': ['Ecuador'], 'Peru': ['Peru'], 'China': ['China', 'Yantian', 'china', 'Shanghai'], 'United Arab Emirates': ['Dubai'], 'Hungary': ['Hongarije'], 'United Kingdom': ['NN4', 'NN2', 'Verenigd Koninkrijk'], 'India': ['Bombay', 'India'], 'Colombia': ['Santa Marta', 'Colombia'], 'Turkey': ['Calisir', 'D-030'], 'United States': ['Wvmc', 'Kent'], 'South Africa': ['Rooi'], 'Greece': ['Kos'], 'Curaçao': ['Curaçao'], 'Germany': ['Duitsland'], 'Dominican Republic': ['Dominicaanse Republiek Curaçao', 'Dominicaanse Republiek']}",2018-03-29
450,ECLI:NL:RBLIM:2018:2977,apaan,['China'],N/A,N/A,precursor,undefined,"{'Belgium': ['België', 'Antwerpen', 'België-Nederland'], 'Ecuador': ['Ecuador'], 'Peru': ['Peru'], 'China': ['China', 'Yantian', 'china', 'Shanghai'], 'United Arab Emirates': ['Dubai'], 'Hungary': ['Hongarije'], 'United Kingdom': ['NN4', 'NN2', 'Verenigd Koninkrijk'], 'India': ['Bombay', 'India'], 'Colombia': ['Santa Marta', 'Colombia'], 'Turkey': ['Calisir', 'D-030'], 'United States': ['Wvmc', 'Kent'], 'South Africa': ['Rooi'], 'Greece': ['Kos'], 'Curaçao': ['Curaçao'], 'Germany': ['Duitsland'], 'Dominican Republic': ['Dominicaanse Republiek Curaçao', 'Dominicaanse Republiek']}",2018-03-29
451,ECLI:NL:RBLIM:2018:2977,mdea,[],N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Antwerpen', 'België-Nederland'], 'Ecuador': ['Ecuador'], 'Peru': ['Peru'], 'China': ['China', 'Yantian', 'china', 'Shanghai'], 'United Arab Emirates': ['Dubai'], 'Hungary': ['Hongarije'], 'United Kingdom': ['NN4', 'NN2', 'Verenigd Koninkrijk'], 'India': ['Bombay', 'India'], 'Colombia': ['Santa Marta', 'Colombia'], 'Turkey': ['Calisir', 'D-030'], 'United States': ['Wvmc', 'Kent'], 'South Africa': ['Rooi'], 'Greece': ['Kos'], 'Curaçao': ['Curaçao'], 'Germany': ['Duitsland'], 'Dominican Republic': ['Dominicaanse Republiek Curaçao', 'Dominicaanse Republiek']}",2018-03-29
452,ECLI:NL:RBOBR:2017:2217,mdma,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Maasmechelen', 'België']}",2017-04-20
453,ECLI:NL:RBOBR:2017:2217,amfetamine,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Maasmechelen', 'België']}",2017-04-20
454,ECLI:NL:OGEAA:2017:224,cocaïne,[],N/A,N/A,harddrugs,undefined,"{'Aruba': ['Aruba'], 'United Kingdom': ['Londen']}",2017-03-16
455,ECLI:NL:OGHNAA:2009:BJ7639,cocaïne,[],483,kilogram,harddrugs,kg,"{'Grenada': ['Grenada'], 'Sint Maarten': ['Sint Maarten']}",2009-10-09
456,ECLI:NL:OGHNAA:2009:BJ7639,drugs,[],N/A,N/A,unspecified,undefined,"{'Grenada': ['Grenada'], 'Sint Maarten': ['Sint Maarten']}",2009-10-09
457,ECLI:NL:RBUTR:2009:BJ2151,hasj,"['Morocco', 'Spain', 'Netherlands']",1700,kg,softdrugs,kg,"{'Belgium': ['België'], 'Morocco': ['Marokko', 'Rabat'], 'Spain': ['Spanje', 'Malaga'], 'United Kingdom': ['Engeland']}",2009-09-07
458,ECLI:NL:RBUTR:2009:BJ2151,drugs,[],N/A,N/A,unspecified,undefined,"{'Belgium': ['België'], 'Morocco': ['Marokko', 'Rabat'], 'Spain': ['Spanje', 'Malaga'], 'United Kingdom': ['Engeland']}",2009-09-07
459,ECLI:NL:RBUTR:2009:BJ2151,hash,"['Morocco', 'Spain']",1700,kg,softdrugs,kg,"{'Belgium': ['België'], 'Morocco': ['Marokko', 'Rabat'], 'Spain': ['Spanje', 'Malaga'], 'United Kingdom': ['Engeland']}",2009-09-07
460,ECLI:NL:RBUTR:2009:BJ2151,hennep,[],N/A,N/A,softdrugs,undefined,"{'Belgium': ['België'], 'Morocco': ['Marokko', 'Rabat'], 'Spain': ['Spanje', 'Malaga'], 'United Kingdom': ['Engeland']}",2009-09-07
